"iso2","year","demo","n"
"SR",2006,"m04",1
"ST",2006,"m04",0
"ST",2007,"m04",0
"SV",2007,"m04",0
"SV",2008,"m04",0
"SY",2006,"m04",0
"SY",2007,"m04",0
"SY",2008,"m04",2
"SZ",2007,"m04",2
"SZ",2008,"m04",1
"TC",2006,"m04",0
"TJ",2005,"m04",0
"TJ",2008,"m04",0
"TK",2007,"m04",0
"TM",2005,"m04",0
"TM",2007,"m04",0
"TO",2006,"m04",0
"TO",2007,"m04",0
"TO",2008,"m04",0
"TR",2005,"m04",1
"TR",2006,"m04",2
"TR",2007,"m04",13
"TR",2008,"m04",7
"TT",2007,"m04",0
"TT",2008,"m04",0
"TV",2006,"m04",7
"TV",2008,"m04",0
"UA",2007,"m04",5
"UA",2008,"m04",1
"UG",2008,"m04",0
"US",2006,"m04",4
"US",2007,"m04",4
"US",2008,"m04",4
"UY",2008,"m04",0
"UZ",2005,"m04",1
"UZ",2006,"m04",8
"UZ",2007,"m04",0
"UZ",2008,"m04",3
"VC",2007,"m04",0
"VE",2006,"m04",1
"VE",2007,"m04",0
"VE",2008,"m04",0
"VU",2008,"m04",0
"WF",2007,"m04",0
"WS",2008,"m04",0
"ZA",2006,"m04",655
"ZA",2007,"m04",340
"ZA",2008,"m04",344
"ZW",2007,"m04",6
"AD",2005,"m514",0
"AD",2006,"m514",0
"AD",2008,"m514",0
"AE",2006,"m514",0
"AE",2007,"m514",2
"AE",2008,"m514",0
"AG",2007,"m514",0
"AL",2005,"m514",0
"AL",2006,"m514",4
"AL",2007,"m514",0
"AL",2008,"m514",0
"AM",2005,"m514",2
"AM",2006,"m514",0
"AM",2007,"m514",1
"AM",2008,"m514",0
"AN",2006,"m514",0
"AR",2006,"m514",48
"AR",2007,"m514",63
"AR",2008,"m514",58
"AT",2005,"m514",0
"AT",2006,"m514",1
"AT",2007,"m514",1
"AU",2006,"m514",1
"AU",2007,"m514",3
"AZ",2005,"m514",75
"AZ",2006,"m514",5
"BA",2005,"m514",1
"BA",2006,"m514",0
"BA",2007,"m514",0
"BA",2008,"m514",0
"BB",2007,"m514",0
"BB",2008,"m514",0
"BE",2005,"m514",0
"BE",2006,"m514",1
"BE",2007,"m514",1
"BE",2008,"m514",1
"BF",2007,"m514",6
"BG",2005,"m514",9
"BG",2007,"m514",5
"BG",2008,"m514",1
"BH",2008,"m514",0
"BI",2007,"m514",0
"BN",2007,"m514",0
"BN",2008,"m514",0
"BR",2006,"m514",207
"BR",2007,"m514",196
"BR",2008,"m514",183
"BS",2007,"m514",0
"BS",2008,"m514",0
"BW",2008,"m514",23
"BZ",2006,"m514",3
"BZ",2007,"m514",0
"BZ",2008,"m514",1
"CA",2006,"m514",1
"CA",2007,"m514",1
"CA",2008,"m514",2
"CH",2005,"m514",1
"CH",2006,"m514",1
"CH",2007,"m514",0
"CH",2008,"m514",0
"CK",2006,"m514",0
"CL",2006,"m514",7
"CL",2007,"m514",3
"CL",2008,"m514",6
"CM",2008,"m514",0
"CR",2006,"m514",1
"CR",2007,"m514",2
"CR",2008,"m514",3
"CU",2008,"m514",2
"CV",2006,"m514",2
"CV",2008,"m514",0
"CY",2005,"m514",0
"CY",2006,"m514",0
"CY",2007,"m514",0
"CY",2008,"m514",0
"CZ",2005,"m514",0
"CZ",2006,"m514",0
"CZ",2007,"m514",0
"CZ",2008,"m514",0
"DE",2005,"m514",4
"DE",2006,"m514",2
"DE",2007,"m514",2
"DE",2008,"m514",2
"DJ",2007,"m514",10
"DK",2005,"m514",0
"DK",2006,"m514",0
"DK",2007,"m514",0
"DK",2008,"m514",0
"DM",2006,"m514",0
"DM",2007,"m514",0
"DM",2008,"m514",0
"DO",2008,"m514",14
"EE",2005,"m514",0
"EE",2006,"m514",0
"EE",2007,"m514",0
"EE",2008,"m514",0
"EG",2006,"m514",35
"EG",2008,"m514",13
"ER",2007,"m514",17
"ES",2005,"m514",7
"ES",2006,"m514",6
"ES",2007,"m514",6
"ES",2008,"m514",9
"FI",2005,"m514",1
"FI",2006,"m514",0
"FI",2007,"m514",0
"FI",2008,"m514",0
"FJ",2006,"m514",0
"FM",2006,"m514",7
"FM",2008,"m514",0
"FR",2005,"m514",5
"FR",2006,"m514",9
"FR",2007,"m514",9
"FR",2008,"m514",5
"GA",2008,"m514",13
"GB",2005,"m514",5
"GB",2006,"m514",6
"GB",2007,"m514",11
"GB",2008,"m514",4
"GD",2006,"m514",0
"GE",2005,"m514",0
"GE",2006,"m514",3
"GE",2007,"m514",1
"GE",2008,"m514",122
"GM",2006,"m514",0
"GM",2008,"m514",6
"GR",2005,"m514",1
"GR",2006,"m514",0
"GR",2007,"m514",1
"GR",2008,"m514",0
"GT",2007,"m514",115
"GT",2008,"m514",19
"GU",2007,"m514",0
"GU",2008,"m514",0
"GY",2008,"m514",5
"HK",2005,"m514",3
"HK",2006,"m514",3
"HK",2007,"m514",4
"HK",2008,"m514",0
"HN",2006,"m514",16
"HN",2007,"m514",16
"HN",2008,"m514",10
"HR",2005,"m514",1
"HR",2006,"m514",0
"HR",2008,"m514",0
"HT",2007,"m514",78
"HT",2008,"m514",82
"HU",2005,"m514",0
"HU",2006,"m514",2
"HU",2007,"m514",0
"HU",2008,"m514",0
"ID",2007,"m514",636
"ID",2008,"m514",710
"IE",2005,"m514",1
"IE",2006,"m514",0
"IE",2007,"m514",0
"IE",2008,"m514",1
"IL",2005,"m514",0
"IL",2006,"m514",0
"IL",2007,"m514",1
"IL",2008,"m514",0
"IQ",2006,"m514",14
"IQ",2007,"m514",20
"IQ",2008,"m514",16
"IR",2006,"m514",8
"IR",2007,"m514",7
"IR",2008,"m514",11
"IS",2005,"m514",0
"IS",2006,"m514",0
"IS",2007,"m514",0
"IS",2008,"m514",0
"IT",2005,"m514",1
"IT",2006,"m514",1
"IT",2007,"m514",2
"IT",2008,"m514",12
"JM",2006,"m514",0
"JM",2007,"m514",0
"JM",2008,"m514",1
"JO",2006,"m514",0
"JO",2007,"m514",0
"JO",2008,"m514",0
"JP",2006,"m514",3
"JP",2007,"m514",0
"JP",2008,"m514",2
"KE",2007,"m514",451
"KE",2008,"m514",411
"KG",2005,"m514",1
"KG",2006,"m514",3
"KG",2007,"m514",3
"KG",2008,"m514",1
"KI",2007,"m514",2
"KI",2008,"m514",2
"KM",2006,"m514",0
"KM",2008,"m514",2
"KN",2008,"m514",0
"KP",2008,"m514",430
"KR",2006,"m514",19
"KR",2007,"m514",48
"KR",2008,"m514",18
"KW",2007,"m514",1
"KW",2008,"m514",0
"KY",2006,"m514",0
"KY",2007,"m514",0
"KZ",2005,"m514",31
"KZ",2007,"m514",11
"KZ",2008,"m514",14
"LB",2006,"m514",0
"LB",2007,"m514",0
"LB",2008,"m514",1
"LC",2008,"m514",0
"LR",2008,"m514",104
"LS",2007,"m514",5
"LS",2008,"m514",21
"LT",2005,"m514",0
"LT",2006,"m514",0
"LT",2007,"m514",0
"LT",2008,"m514",0
"LU",2005,"m514",0
"LU",2006,"m514",0
"LU",2007,"m514",0
"LU",2008,"m514",0
"LV",2005,"m514",1
"LV",2006,"m514",2
"LV",2008,"m514",0
"LY",2006,"m514",0
"LY",2008,"m514",1
"MA",2006,"m514",69
"MA",2007,"m514",70
"MA",2008,"m514",46
"MD",2005,"m514",2
"MD",2007,"m514",0
"MD",2008,"m514",1
"ME",2005,"m514",0
"ME",2006,"m514",0
"ME",2007,"m514",0
"ME",2008,"m514",0
"MG",2007,"m514",102
"MG",2008,"m514",121
"MH",2007,"m514",0
"MH",2008,"m514",1
"MK",2005,"m514",2
"MK",2006,"m514",0
"MK",2007,"m514",1
"MK",2008,"m514",1
"ML",2008,"m514",20
"MO",2007,"m514",0
"MO",2008,"m514",1
"MP",2007,"m514",0
"MP",2008,"m514",0
"MT",2005,"m514",0
"MT",2006,"m514",0
"MT",2007,"m514",0
"MT",2008,"m514",0
"MU",2007,"m514",0
"MU",2008,"m514",0
"MV",2006,"m514",0
"MV",2007,"m514",0
"MV",2008,"m514",0
"MW",2007,"m514",61
"MW",2008,"m514",55
"MX",2006,"m514",61
"MX",2007,"m514",84
"MX",2008,"m514",62
"MY",2007,"m514",137
"MY",2008,"m514",160
"NC",2008,"m514",0
"NE",2008,"m514",30
"NI",2006,"m514",0
"NI",2007,"m514",0
"NL",2005,"m514",0
"NL",2006,"m514",0
"NL",2007,"m514",0
"NL",2008,"m514",0
"NO",2005,"m514",0
"NO",2006,"m514",0
"NO",2008,"m514",1
"NP",2006,"m514",0
"NP",2007,"m514",0
"NR",2006,"m514",0
"NR",2007,"m514",0
"NR",2008,"m514",0
"NU",2006,"m514",0
"NU",2007,"m514",0
"NZ",2006,"m514",5
"NZ",2007,"m514",0
"NZ",2008,"m514",0
"OM",2006,"m514",6
"OM",2008,"m514",0
"PA",2008,"m514",8
"PE",2006,"m514",364
"PE",2007,"m514",385
"PE",2008,"m514",74
"PF",2008,"m514",1
"PL",2005,"m514",1
"PL",2006,"m514",0
"PL",2007,"m514",2
"PL",2008,"m514",3
"PR",2007,"m514",0
"PR",2008,"m514",0
"PS",2006,"m514",0
"PS",2007,"m514",0
"PS",2008,"m514",0
"PT",2005,"m514",2
"PT",2006,"m514",3
"PT",2007,"m514",3
"PT",2008,"m514",1
"PW",2006,"m514",0
"PW",2007,"m514",0
"PY",2006,"m514",14
"PY",2007,"m514",11
"PY",2008,"m514",8
"QA",2007,"m514",0
"QA",2008,"m514",1
"RO",2005,"m514",26
"RO",2006,"m514",21
"RO",2007,"m514",13
"RO",2008,"m514",14
"RS",2005,"m514",3
"RS",2006,"m514",4
"RS",2007,"m514",0
"RS",2008,"m514",1
"RU",2007,"m514",17
"RU",2008,"m514",11
"RW",2007,"m514",44
"RW",2008,"m514",29
"SA",2008,"m514",12
"SB",2007,"m514",5
"SB",2008,"m514",3
"SC",2008,"m514",0
"SD",2006,"m514",0
"SD",2008,"m514",277
"SE",2005,"m514",0
"SE",2006,"m514",0
"SE",2007,"m514",0
"SE",2008,"m514",0
"SG",2006,"m514",1
"SG",2007,"m514",0
"SG",2008,"m514",0
"SI",2005,"m514",0
"SI",2006,"m514",0
"SI",2007,"m514",0
"SI",2008,"m514",0
"SK",2005,"m514",0
"SK",2006,"m514",3
"SK",2007,"m514",0
"SK",2008,"m514",0
"SL",2007,"m514",44
"SL",2008,"m514",43
"SN",2008,"m514",65
"SR",2006,"m514",4
"ST",2006,"m514",0
"ST",2007,"m514",0
"SV",2007,"m514",8
"SV",2008,"m514",8
"SY",2006,"m514",8
"SY",2007,"m514",7
"SY",2008,"m514",16
"SZ",2007,"m514",29
"SZ",2008,"m514",28
"TC",2006,"m514",0
"TG",2007,"m514",0
"TJ",2005,"m514",8
"TJ",2008,"m514",7
"TK",2007,"m514",0
"TM",2005,"m514",2
"TM",2007,"m514",2
"TO",2006,"m514",0
"TO",2007,"m514",0
"TO",2008,"m514",0
"TR",2005,"m514",32
"TR",2006,"m514",38
"TR",2007,"m514",37
"TR",2008,"m514",41
"TT",2006,"m514",2
"TT",2007,"m514",1
"TT",2008,"m514",2
"TV",2006,"m514",0
"TV",2008,"m514",2
"UA",2007,"m514",9
"UA",2008,"m514",8
"UG",2008,"m514",269
"US",2006,"m514",8
"US",2007,"m514",8
"US",2008,"m514",7
"UY",2008,"m514",1
"UZ",2005,"m514",24
"UZ",2006,"m514",11
"UZ",2007,"m514",18
"UZ",2008,"m514",7
"VC",2007,"m514",0
"VE",2006,"m514",9
"VE",2007,"m514",17
"VE",2008,"m514",18
"VU",2006,"m514",0
"VU",2008,"m514",1
"WF",2007,"m514",0
"WS",2008,"m514",0
"ZA",2006,"m514",1407
"ZA",2007,"m514",594
"ZA",2008,"m514",1519
"ZW",2007,"m514",132
"AD",1996,"m014",0
"AD",1997,"m014",0
"AD",1998,"m014",0
"AD",1999,"m014",0
"AD",2000,"m014",0
"AD",2001,"m014",0
"AD",2002,"m014",0
"AD",2003,"m014",0
"AD",2004,"m014",0
"AD",2005,"m014",0
"AD",2006,"m014",0
"AD",2008,"m014",0
"AE",1999,"m014",4
"AE",2000,"m014",2
"AE",2002,"m014",1
"AE",2003,"m014",2
"AE",2004,"m014",1
"AE",2006,"m014",0
"AE",2007,"m014",2
"AE",2008,"m014",0
"AF",1997,"m014",0
"AF",1998,"m014",30
"AF",1999,"m014",8
"AF",2000,"m014",52
"AF",2001,"m014",129
"AF",2002,"m014",90
"AF",2003,"m014",127
"AF",2004,"m014",139
"AF",2005,"m014",151
"AF",2006,"m014",193
"AF",2007,"m014",186
"AF",2008,"m014",187
"AG",1996,"m014",0
"AG",2000,"m014",0
"AG",2002,"m014",0
"AG",2003,"m014",0
"AG",2007,"m014",0
"AI",2004,"m014",0
"AL",1995,"m014",0
"AL",1997,"m014",0
"AL",1998,"m014",1
"AL",1999,"m014",0
"AL",2000,"m014",2
"AL",2001,"m014",3
"AL",2002,"m014",0
"AL",2003,"m014",0
"AL",2004,"m014",5
"AL",2005,"m014",0
"AL",2006,"m014",5
"AL",2007,"m014",0
"AL",2008,"m014",1
"AM",1995,"m014",1
"AM",1996,"m014",2
"AM",1997,"m014",2
"AM",1998,"m014",2
"AM",1999,"m014",4
"AM",2000,"m014",2
"AM",2001,"m014",2
"AM",2002,"m014",1
"AM",2003,"m014",12
"AM",2004,"m014",2
"AM",2005,"m014",3
"AM",2006,"m014",0
"AM",2007,"m014",1
"AM",2008,"m014",0
"AN",1996,"m014",0
"AN",1997,"m014",0
"AN",1998,"m014",0
"AN",1999,"m014",0
"AN",2000,"m014",0
"AN",2001,"m014",0
"AN",2002,"m014",0
"AN",2003,"m014",0
"AN",2004,"m014",1
"AN",2006,"m014",0
"AO",1995,"m014",386
"AO",1996,"m014",360
"AO",1997,"m014",419
"AO",1998,"m014",240
"AO",1999,"m014",391
"AO",2000,"m014",186
"AO",2001,"m014",230
"AO",2002,"m014",435
"AO",2003,"m014",409
"AO",2004,"m014",554
"AO",2005,"m014",520
"AO",2006,"m014",540
"AO",2007,"m014",484
"AO",2008,"m014",367
"AR",1996,"m014",113
"AR",1997,"m014",96
"AR",1998,"m014",84
"AR",1999,"m014",90
"AR",2000,"m014",97
"AR",2001,"m014",78
"AR",2002,"m014",70
"AR",2003,"m014",89
"AR",2004,"m014",64
"AR",2005,"m014",64
"AR",2006,"m014",67
"AR",2007,"m014",77
"AR",2008,"m014",69
"AS",1997,"m014",1
"AT",1995,"m014",4
"AT",1997,"m014",24
"AT",1999,"m014",0
"AT",2000,"m014",1
"AT",2001,"m014",1
"AT",2002,"m014",1
"AT",2003,"m014",0
"AT",2004,"m014",1
"AT",2005,"m014",1
"AT",2006,"m014",1
"AT",2007,"m014",1
"AU",1997,"m014",1
"AU",1998,"m014",0
"AU",1999,"m014",0
"AU",2000,"m014",3
"AU",2001,"m014",1
"AU",2002,"m014",1
"AU",2003,"m014",0
"AU",2004,"m014",0
"AU",2005,"m014",0
"AU",2006,"m014",1
"AU",2007,"m014",3
"AU",2008,"m014",2
"AZ",1995,"m014",0
"AZ",1996,"m014",0
"AZ",1997,"m014",0
"AZ",1998,"m014",0
"AZ",1999,"m014",0
"AZ",2000,"m014",0
"AZ",2001,"m014",3
"AZ",2002,"m014",6
"AZ",2003,"m014",3
"AZ",2004,"m014",8
"AZ",2005,"m014",77
"AZ",2006,"m014",6
"BA",1995,"m014",0
"BA",1996,"m014",5
"BA",1997,"m014",5
"BA",1998,"m014",1
"BA",1999,"m014",2
"BA",2000,"m014",4
"BA",2001,"m014",6
"BA",2002,"m014",1
"BA",2003,"m014",4
"BA",2004,"m014",3
"BA",2005,"m014",1
"BA",2006,"m014",0
"BA",2007,"m014",0
"BA",2008,"m014",0
"BB",1996,"m014",0
"BB",2000,"m014",0
"BB",2001,"m014",0
"BB",2007,"m014",0
"BB",2008,"m014",0
"BD",1995,"m014",29
"BD",1996,"m014",45
"BD",1997,"m014",201
"BD",1998,"m014",254
"BD",1999,"m014",259
"BD",2000,"m014",256
"BD",2001,"m014",283
"BD",2002,"m014",449
"BD",2003,"m014",320
"BD",2004,"m014",420
"BD",2005,"m014",524
"BD",2006,"m014",607
"BD",2007,"m014",523
"BD",2008,"m014",422
"BE",1995,"m014",3
"BE",1996,"m014",1
"BE",1997,"m014",3
"BE",1998,"m014",3
"BE",1999,"m014",2
"BE",2000,"m014",3
"BE",2001,"m014",8
"BE",2002,"m014",1
"BE",2003,"m014",6
"BE",2004,"m014",1
"BE",2005,"m014",1
"BE",2006,"m014",4
"BE",2007,"m014",2
"BE",2008,"m014",3
"BF",1995,"m014",4
"BF",1996,"m014",3
"BF",1997,"m014",3
"BF",1998,"m014",4
"BF",1999,"m014",13
"BF",2000,"m014",12
"BF",2001,"m014",7
"BF",2002,"m014",6
"BF",2003,"m014",14
"BF",2004,"m014",10
"BF",2005,"m014",18
"BF",2006,"m014",13
"BF",2007,"m014",8
"BF",2008,"m014",8
"BG",2000,"m014",0
"BG",2001,"m014",1
"BG",2002,"m014",2
"BG",2003,"m014",3
"BG",2004,"m014",10
"BG",2005,"m014",9
"BG",2006,"m014",6
"BG",2007,"m014",7
"BG",2008,"m014",2
"BH",1995,"m014",0
"BH",1996,"m014",0
"BH",1997,"m014",1
"BH",1998,"m014",0
"BH",1999,"m014",0
"BH",2000,"m014",0
"BH",2001,"m014",0
"BH",2002,"m014",0
"BH",2003,"m014",0
"BH",2004,"m014",0
"BH",2005,"m014",0
"BH",2006,"m014",0
"BH",2007,"m014",0
"BH",2008,"m014",0
"BI",1995,"m014",5
"BI",1996,"m014",16
"BI",1997,"m014",21
"BI",1998,"m014",45
"BI",1999,"m014",64
"BI",2001,"m014",34
"BI",2002,"m014",16
"BI",2003,"m014",32
"BI",2004,"m014",24
"BI",2005,"m014",34
"BI",2006,"m014",30
"BI",2007,"m014",26
"BI",2008,"m014",30
"BJ",1995,"m014",14
"BJ",1996,"m014",17
"BJ",1997,"m014",20
"BJ",1998,"m014",20
"BJ",1999,"m014",14
"BJ",2000,"m014",19
"BJ",2002,"m014",16
"BJ",2003,"m014",20
"BJ",2004,"m014",16
"BJ",2005,"m014",21
"BJ",2006,"m014",18
"BJ",2008,"m014",20
"BM",2004,"m014",0
"BN",1999,"m014",0
"BN",2000,"m014",0
"BN",2002,"m014",2
"BN",2003,"m014",0
"BN",2004,"m014",0
"BN",2005,"m014",0
"BN",2006,"m014",2
"BN",2007,"m014",0
"BN",2008,"m014",0
"BO",1996,"m014",178
"BO",1997,"m014",150
"BO",1998,"m014",167
"BO",1999,"m014",222
"BO",2000,"m014",166
"BO",2001,"m014",165
"BO",2002,"m014",231
"BO",2003,"m014",156
"BO",2004,"m014",161
"BO",2005,"m014",157
"BO",2006,"m014",127
"BO",2007,"m014",116
"BO",2008,"m014",128
"BR",1999,"m014",301
"BR",2000,"m014",1894
"BR",2001,"m014",468
"BR",2002,"m014",344
"BR",2003,"m014",382
