"artist","track","time","week","rank","date"
"Hot Boys","I Need A Hot Girl",04:16:00,"1","77",2000-02-19
"Houston, Whitney","Could I Have This Ki...",03:54:00,"1","74",2000-06-17
"Houston, Whitney","I Learned From The B...",04:18:00,"1","83",2000-02-19
"Houston, Whitney","My Love Is Your Love",04:16:00,"1","81",1999-09-04
"Houston, Whitney","Same Script, Differe...",04:45:00,"1","71",2000-06-17
"IMx","Stay The Night",03:37:00,"1","84",1999-10-09
"Ice Cube","You Can Do It",04:20:00,"1","86",1999-12-04
"Ideal","Whatever",03:48:00,"1","75",2000-06-10
"Iglesias, Enrique","Be With You",03:36:00,"1","63",2000-04-01
"Iglesias, Enrique","Rhythm Divine",07:35:00,"1","90",1999-12-04
"J-Shin","One Night Stand",04:34:00,"1","96",1999-12-25
"Ja Rule","Between Me And You",04:05:00,"1","85",2000-09-16
"Jackson, Alan","It Must Be Love",02:53:00,"1","76",2000-06-24
"Jackson, Alan","Pop A Top",03:04:00,"1","79",1999-11-13
"Jackson, Alan","www.memory",02:36:00,"1","75",2000-11-04
"Jagged Edge","He Can't Love U",03:30:00,"1","54",1999-12-11
"Jagged Edge","Let's Get Married",04:23:00,"1","77",2000-05-06
"Janet","Doesn't Really Matte...",04:17:00,"1","59",2000-06-17
"Jay-Z","Anything",03:41:00,"1","72",2000-02-26
"Jay-Z","Big Pimpin'",03:55:00,"1","69",2000-04-22
"Jay-Z","Do It Again (Put Ya ...",03:47:00,"1","95",2000-01-15
"Jay-Z","Hey Papi",03:40:00,"1","98",2000-08-12
"Jay-Z","I Just Wanna Love U ...",03:50:00,"1","58",2000-10-28
"Jean, Wyclef","911",04:00:00,"1","77",2000-10-07
"Joe","I Wanna Know",04:57:00,"1","94",2000-01-01
"Joe","Treat Her Like A Lad...",04:12:00,"1","77",2000-08-05
"John, Elton","Someday Out Of The B...",04:41:00,"1","56",2000-04-22
"Jones, Donell","Where I Wanna Be",06:22:00,"1","81",2000-04-22
"Jordan, Montell","Get It On.. Tonite",04:34:00,"1","92",1999-10-23
"Juvenile","U Understand",03:51:00,"1","85",2000-02-05
"Kandi","Don't Think I'm Not",03:50:00,"1","66",2000-08-05
"Keith, Toby","Country Comes To Tow...",03:39:00,"1","82",2000-08-05
"Keith, Toby","How Do You Like Me N...",03:29:00,"1","77",2000-01-29
"Kelis","Caught Out There",04:09:00,"1","84",1999-12-04
"Kenny G","Auld Lang Syne (The ...",07:50:00,"1","89",1999-12-25
"Kid Rock","Only God Knows Why",05:27:00,"1","63",2000-02-19
"Kravitz, Lenny","I Belong To You",04:17:00,"1","78",2000-03-25
"Kumbia Kings","U Don't Love Me",03:50:00,"1","81",2000-03-04
"LFO","I Don't Wanna Kiss Y...",05:00:00,"1","63",2000-04-15
"LFO","West Side Story",03:27:00,"1","96",2000-08-05
"LL Cool J","Imagine That",04:00:00,"1","99",2000-08-12
"Larrieux, Amel","Get Up",04:02:00,"1","100",2000-03-04
"Lawrence, Tracy","Lessons Learned",02:55:00,"1","80",2000-01-29
"Levert, Gerald","Baby U Are",04:10:00,"1","96",2000-08-19
"Levert, Gerald","Mr. Too Damn Good",04:06:00,"1","84",2000-03-18
"Lil Bow Wow","Bounce With Me",03:22:00,"1","48",2000-08-19
"Lil Wayne","Tha Block Is Hot",04:13:00,"1","99",1999-12-04
"Lil' Kim","How Many Licks?",03:50:00,"1","79",2000-11-25
"Lil' Kim","No Matter What They ...",04:12:00,"1","80",2000-07-15
"Lil' Mo","Ta Da",04:17:00,"1","100",2000-08-12
"Lil' Zane","Callin' Me",03:43:00,"1","83",2000-07-29
"Limp Bizkit","N 2 Gether Now",03:55:00,"1","94",1999-12-04
"Limp Bizkit","Re-Arranged",04:08:00,"1","91",1999-12-04
"Limp Bizkit","Rollin'",04:04:00,"1","77",2000-11-11
"Lonestar","Amazed",04:25:00,"1","81",1999-06-05
"Lonestar","Smile",03:33:00,"1","89",1999-12-18
"Lonestar","What About Now",03:30:00,"1","78",2000-06-10
"Lopez, Jennifer","Feelin' Good",04:28:00,"1","79",2000-02-19
"Loveless, Patty","That's The Kind Of M...",03:27:00,"1","98",2000-09-16
"Lox","Ryde or Die, Chick",03:56:00,"1","86",2000-03-18
"Lucy Pearl","Dance Tonight",03:45:00,"1","80",2000-05-20
"Ludacris","What's Your Fantasy",04:16:00,"1","89",2000-09-30
"M2M","Don't Say You Love M...",03:41:00,"1","72",1999-11-20
"M2M","Mirror Mirror",03:19:00,"1","87",2000-04-01
"Madison Avenue","Don't Call Me Baby",03:44:00,"1","98",2000-07-08
"Madonna","American Pie",04:30:00,"1","43",2000-02-19
"Madonna","Music",03:45:00,"1","41",2000-08-12
"Martin, Ricky","Private Emotion",04:02:00,"1","76",2000-03-11
"Martin, Ricky","Shake Your Bon-Bon",03:08:00,"1","74",1999-11-20
"Martin, Ricky","She Bangs",04:02:00,"1","38",2000-10-07
"Mary Mary","Shackles (Praise You...",03:12:00,"1","90",2000-03-25
"Master P","Souljas",03:33:00,"1","98",2000-11-18
"McBride, Martina","Love's The Only Hous...",05:13:00,"1","79",2000-02-05
"McBride, Martina","There You Are",03:26:00,"1","79",2000-09-09
"McEntire, Reba","I'll Be",04:23:00,"1","89",2000-05-13
"McEntire, Reba","What Do You Say",03:26:00,"1","88",1999-10-30
"McGraw, Tim","My Best Friend",04:33:00,"1","85",1999-11-27
"McGraw, Tim","My Next Thirty Years",03:37:00,"1","73",2000-10-21
"McGraw, Tim","Some Things Never Ch...",03:56:00,"1","76",2000-05-13
"McKnight, Brian","Stay Or Let It Go",04:32:00,"1","95",2000-02-26
"Messina, Jo Dee","Because You Love Me",03:50:00,"1","83",2000-01-29
"Messina, Jo Dee","That's The Way",03:17:00,"1","78",2000-06-24
"Metallica","I Disappear",04:26:00,"1","86",2000-05-13
"Metallica","No Leaf Clover (Live...",05:43:00,"1","86",2000-02-12
"Montgomery Gentry","Daddy Won't Sell The...",04:18:00,"1","87",2000-03-04
"Montgomery, John Michael","The Little Girl",03:52:00,"1","81",2000-09-09
"Moore, Chante","Straight Up",03:40:00,"1","98",2000-10-28
"Moore, Mandy","I Wanna Be With You",04:12:00,"1","69",2000-06-17
"Mumba, Samantha","Gotta Tell You",03:19:00,"1","85",2000-09-09
"Musiq","Just Friends",04:02:00,"1","89",2000-10-14
"Mya","Case Of The Ex (What...",03:50:00,"1","72",2000-08-19
"Mya","The Best Of Me",04:12:00,"1","85",2000-04-15
"Mystikal","Shake Ya Ass",04:46:00,"1","97",2000-08-12
"N'Sync","Bye Bye Bye",03:15:00,"1","42",2000-01-29
"N'Sync","It's Gonna Be Me",03:10:00,"1","82",2000-05-06
"N'Sync","This I Promise You",04:23:00,"1","68",2000-09-30
"Nas","You Owe Me",03:51:00,"1","74",2000-03-25
"Nelly","(Hot S**t) Country G...",04:17:00,"1","100",2000-04-29
"Next","Wifey",04:03:00,"1","85",2000-05-27
"Nine Days","Absolutely (Story Of...",03:09:00,"1","85",2000-05-06
"Nine Days","If I Am",04:18:00,"1","68",2000-12-02
"No Doubt","Simple Kind Of Life",04:11:00,"1","50",2000-07-01
"Nu Flavor","3 Little Words",03:54:00,"1","97",2000-06-03
"Offspring, The","Original Prankster",03:42:00,"1","74",2000-11-25
"Paisley, Brad","Me Neither",03:19:00,"1","87",2000-05-13
"Paisley, Brad","We Danced",03:45:00,"1","71",2000-10-14
"Papa Roach","Last Resort",03:19:00,"1","75",2000-07-29
"Pearl Jam","Nothing As It Seems",05:20:00,"1","49",2000-05-13
"Pink","Most Girls",04:06:00,"1","85",2000-08-12
"Pink","There U Go",03:23:00,"1","25",2000-03-04
"Price, Kelly","As We Lay",06:20:00,"1","82",2000-07-15
"Price, Kelly","Love Sets You Free",03:46:00,"1","92",2000-05-13
"Price, Kelly","You Should've Told M...",03:12:00,"1","91",2000-09-23
"Profyle","Liar",03:57:00,"1","52",2000-09-16
"Puff Daddy","Best Friend",05:33:00,"1","65",2000-02-12
"Q-Tip","Breathe And Stop",04:06:00,"1","71",2000-01-22
"R.E.M.","The Great Beyond",04:10:00,"1","79",1999-12-25
"Rascal Flatts","Prayin' For Daylight",03:36:00,"1","87",2000-05-06
"Raye, Collin","Couldn't Last A Mome...",03:40:00,"1","91",2000-03-18
"Red Hot Chili Peppers","Californication",05:21:00,"1","72",2000-07-29
"Red Hot Chili Peppers","Otherside",04:13:00,"1","80",2000-02-12
"Rimes, LeAnn","Big Deal",03:03:00,"1","71",1999-10-16
"Rimes, LeAnn","Can't Fight The Moon...",03:33:00,"1","82",2000-09-09
"Rimes, LeAnn","I Need You",03:42:00,"1","77",2000-05-27
"Rogers, Kenny","Buy Me A Rose",03:46:00,"1","79",2000-03-11
"Ruff Endz","No More",03:56:00,"1","76",2000-07-01
"Sammie","I Like It",04:09:00,"1","85",2000-01-29
"Santana","Maria, Maria",04:18:00,"1","15",2000-02-12
"Savage Garden","Crash And Burn",04:41:00,"1","75",2000-04-08
"Savage Garden","I Knew I Loved You",04:07:00,"1","71",1999-10-23
"SheDaisy","Deck The Halls",03:46:00,"1","97",1999-12-25
"SheDaisy","I Will.. But",03:40:00,"1","78",2000-07-15
"SheDaisy","This Woman Needs",03:20:00,"1","82",2000-02-05
"Sheist, Shade","Where I Wanna Be",04:16:00,"1","96",2000-11-11
"Shyne","Bad Boyz",04:22:00,"1","94",2000-09-09
"Simpson, Jessica","I Think I'm In Love ...",03:32:00,"1","63",2000-07-01
"Simpson, Jessica","Where You Are",03:51:00,"1","73",2000-04-01
"Sisqo","Got To Get It",03:52:00,"1","92",1999-11-20
"Sisqo","Incomplete",03:52:00,"1","77",2000-06-24
"Sisqo","Thong Song",04:05:00,"1","74",2000-01-29
"Sister Hazel","Change Your Mind",04:02:00,"1","75",2000-07-15
"Smash Mouth","Then The Morning Com...",03:04:00,"1","83",1999-10-30
"Smith, Will","Freakin' It",03:58:00,"1","99",2000-02-12
"Son By Four","A Puro Dolor (Purest...",03:30:00,"1","80",2000-04-08
"Sonique","It Feels So Good",03:48:00,"1","67",2000-01-22
"SoulDecision","Faded",03:25:00,"1","94",2000-07-08
"Spears, Britney","From The Bottom Of M...",04:30:00,"1","76",2000-01-29
"Spears, Britney","Lucky",03:23:00,"1","61",2000-08-12
"Spears, Britney","Oops!.. I Did It Aga...",03:30:00,"1","67",2000-04-22
"Spencer, Tracie","Still In My Heart",04:11:00,"1","95",2000-03-04
"Splender","I Think God Can Expl...",03:55:00,"1","71",2000-06-10
"Sting","Desert Rose",03:52:00,"1","98",2000-05-13
"Stone Temple Pilots","Sour Girl",04:16:00,"1","79",2000-07-08
"Stone, Angie","No More Rain (In Thi...",04:42:00,"1","86",1999-12-25
"Strait, George","Go On",03:48:00,"1","71",2000-08-26
"Strait, George","The Best Day",03:24:00,"1","73",2000-01-29
"Sugar Ray","Falls Apart",04:15:00,"1","70",2000-01-15
"TLC","Dear Lie",04:36:00,"1","63",2000-02-12
"Tamar","If You Don't Wanna L...",04:02:00,"1","98",2000-03-25
"Tamia","Can't Go For That",03:38:00,"1","90",2000-09-16
"Third Eye Blind","Deep Inside Of You",04:10:00,"1","80",2000-09-02
"Third Eye Blind","Never Let You Go",03:57:00,"1","65",2000-01-22
"Thomas, Carl","Emotional",04:31:00,"1","77",2000-11-25
"Thomas, Carl","I Wish",03:50:00,"1","75",2000-03-25
"Thomas, Carl","Summer Rain",04:57:00,"1","82",2000-09-23
"Tippin, Aaron","Kiss This",02:53:00,"1","74",2000-08-26
"Train","Meet Virginia",03:55:00,"1","76",1999-10-09
"Trick Daddy","Shut Up",04:17:00,"1","99",2000-05-20
"Trina","Pull Over",02:58:00,"1","97",2000-09-09
"Tritt, Travis","Best Of Intentions",04:15:00,"1","97",2000-08-19
"Tuesday","I Know",04:06:00,"1","98",2000-12-30
"Urban, Keith","Your Everything",04:10:00,"1","81",2000-07-15
"Usher","Pop Ya Collar",03:36:00,"1","68",2000-11-04
"Vassar, Phil","Carlene",04:07:00,"1","75",2000-03-04
"Vassar, Phil","Just Another Day In ...",03:54:00,"1","81",2000-09-30
"Vertical Horizon","Everything You Want",04:01:00,"1","70",2000-01-22
"Vertical Horizon","You're A God",03:45:00,"1","64",2000-08-26
"Vitamin C","Graduation (Friends ...",04:23:00,"1","81",2000-04-15
"Vitamin C","The Itch",03:30:00,"1","86",2000-12-02
"Walker, Clay","Live, Laugh, Love",04:06:00,"1","95",1999-12-04
"Walker, Clay","The Chain Of Love",05:03:00,"1","73",2000-04-15
"Wallflowers, The","Sleepwalker",03:29:00,"1","73",2000-10-28
"Westlife","Swear It Again",04:07:00,"1","96",2000-04-01
"Williams, Robbie","Angels",03:56:00,"1","85",1999-11-20
"Wills, Mark","Back At One",04:00:00,"1","89",2000-01-15
"Worley, Darryl","When You Need My Lov...",03:35:00,"1","98",2000-06-17
"Wright, Chely","It Was",03:51:00,"1","86",2000-03-04
"Yankee Grey","Another Nine Minutes",03:10:00,"1","86",2000-04-29
"Yearwood, Trisha","Real Live Woman",03:55:00,"1","85",2000-04-01
"Ying Yang Twins","Whistle While You Tw...",04:19:00,"1","95",2000-03-18
"Zombie Nation","Kernkraft 400",03:30:00,"1","99",2000-09-02
"matchbox twenty","Bent",04:12:00,"1","60",2000-04-29
"2 Pac","Baby Don't Cry (Keep...",04:22:00,"2","82",2000-02-26
"2Ge+her","The Hardest Part Of ...",03:15:00,"2","87",2000-09-02
"3 Doors Down","Kryptonite",03:53:00,"2","70",2000-04-08
"3 Doors Down","Loser",04:24:00,"2","76",2000-10-21
"504 Boyz","Wobble Wobble",03:35:00,"2","34",2000-04-15
"98^0","Give Me Just One Nig...",03:24:00,"2","39",2000-08-19
"A*Teens","Dancing Queen",03:44:00,"2","97",2000-07-08
"Aaliyah","I Don't Wanna",04:15:00,"2","62",2000-01-29
"Aaliyah","Try Again",04:03:00,"2","53",2000-03-18
"Adams, Yolanda","Open My Heart",05:30:00,"2","76",2000-08-26
"Adkins, Trace","More",03:05:00,"2","84",2000-04-29
"Aguilera, Christina","Come On Over Baby (A...",03:38:00,"2","47",2000-08-05
"Aguilera, Christina","I Turn To You",04:00:00,"2","39",2000-04-15
"Aguilera, Christina","What A Girl Wants",03:18:00,"2","51",1999-11-27
"Alice Deejay","Better Off Alone",06:50:00,"2","65",2000-04-08
"Allan, Gary","Smoke Rings In The D...",04:18:00,"2","78",2000-01-22
"Amber","Sexual",04:38:00,"2","99",1999-07-17
"Anthony, Marc","My Baby You",03:59:00,"2","76",2000-09-16
"Anthony, Marc","You Sang To Me",03:50:00,"2","54",2000-02-26
"Avant","My First Love",04:28:00,"2","62",2000-11-04
"Avant","Separated",04:13:00,"2","32",2000-04-29
"BBMak","Back Here",03:35:00,"2","86",2000-04-29
"Backstreet Boys, The","Shape Of My Heart",03:49:00,"2","25",2000-10-14
"Backstreet Boys, The","Show Me The Meaning ...",03:54:00,"2","62",2000-01-01
"Backstreet Boys, The","The One",03:46:00,"2","50",2000-05-27
"Badu, Erkyah","Bag Lady",05:03:00,"2","53",2000-08-19
"Baha Men","Who Let The Dogs Out",03:17:00,"2","92",2000-07-22
"Barenaked Ladies","Pinch Me",03:46:00,"2","76",2000-09-09
"Beenie Man","Girls Dem Sugar",04:17:00,"2","72",2000-10-21
"Before Dark","Monica",04:04:00,"2","87",2000-05-20
"Bega, Lou","Tricky Tricky",03:23:00,"2","74",2000-01-29
"Big Punisher","It's So Hard",03:25:00,"2","87",2000-04-22
"Black Rob","Whoa!",04:04:00,"2","59",2000-03-04
"Black, Clint","Been There",05:28:00,"2","73",2000-02-19
"Blaque","Bring It All To Me",03:46:00,"2","63",1999-10-23
"Blige, Mary J.","Deep Inside",05:26:00,"2","80",1999-11-13
"Blige, Mary J.","Give Me You",05:00:00,"2","94",2000-04-15
"Blink-182","All The Small Things",02:52:00,"2","76",1999-12-04
"Bloodhound Gang","The Bad Touch",04:20:00,"2","62",2000-03-18
"Bon Jovi","It's My Life",03:44:00,"2","58",2000-08-12
"Braxton, Toni","He Wasn't Man Enough",04:21:00,"2","55",2000-03-18
"Braxton, Toni","Just Be A Man About ...",04:10:00,"2","69",2000-07-29
"Braxton, Toni","Spanish Guitar",04:24:00,"2","98",2000-12-02
"Brock, Chad","A Country Boy Can Su...",03:54:00,"2","75",2000-01-01
"Brock, Chad","Yes!",03:22:00,"2","77",2000-04-08
"Brooks & Dunn","You'll Always Be Lov...",02:58:00,"2","85",2000-06-10
"Brooks, Garth","Do What You Gotta Do",02:56:00,"2","81",2000-02-19
"Byrd, Tracy","Put Your Hand In Min...",04:30:00,"2","77",2000-01-29
"Cagle, Chris","My Love Goes On And ...",03:02:00,"2","94",2000-10-21
"Cam'ron","What Means The World...",04:38:00,"2","94",2000-10-14
"Carey, Mariah","Crybaby",05:19:00,"2","34",2000-06-24
"Carey, Mariah","Thank God I Found Yo...",04:14:00,"2","68",1999-12-11
"Carter, Aaron","Aaron's Party (Come ...",03:23:00,"2","75",2000-08-26
"Carter, Torrey","Take That",03:43:00,"2","88",2000-06-24
"Changing Faces","That Other Woman",04:00:00,"2","72",2000-09-30
"Chesney, Kenny","I Lost It",03:54:00,"2","67",2000-10-21
"Chesney, Kenny","What I Need To Do",04:05:00,"2","74",2000-04-01
"Clark Family Experience","Meanwhile Back At Th...",02:56:00,"2","86",2000-11-18
"Clark, Terri","A Little Gasoline",03:07:00,"2","82",2000-12-16
"Common","The Light",03:55:00,"2","55",2000-08-05
"Counting Crows","Hanginaround",04:07:00,"2","70",1999-11-06
"Creed","Higher",05:16:00,"2","77",1999-09-11
"Creed","With Arms Wide Open",03:52:00,"2","78",2000-05-13
"Cyrus, Billy Ray","You Won't Be Lonely ...",03:45:00,"2","97",2000-09-23
"D'Angelo","Left & Right",04:35:00,"2","77",1999-12-11
"D'Angelo","Untitled (How Does I...",07:10:00,"2","56",2000-01-22
"DMX","Party Up (Up In Here...",03:45:00,"2","74",2000-02-26
"DMX","What You Want",04:05:00,"2","95",2000-07-01
"DMX","What's My Name",03:50:00,"2","76",2000-01-15
"Da Brat","That's What I'm Look...",03:44:00,"2","73",2000-02-26
"Da Brat","What'Chu Like",03:57:00,"2","65",2000-06-03
"Davidson, Clay","Unconditional",03:56:00,"2","97",2000-03-25
"De La Soul","All Good?",05:02:00,"2","96",2000-12-23
"Destiny's Child","Independent Women Pa...",03:38:00,"2","63",2000-09-23
"Destiny's Child","Jumpin' Jumpin'",03:48:00,"2","71",2000-05-13
"Destiny's Child","Say My Name",04:31:00,"2","83",1999-12-25
"Diffie, Joe","It's Always Somethin...",02:55:00,"2","78",2000-08-12
"Diffie, Joe","The Quittin' Kind",03:23:00,"2","100",2000-01-01
"Dion, Celine","That's The Way It Is",04:03:00,"2","68",1999-11-13
"Dixie Chicks, The","Cold Day In July",05:12:00,"2","79",2000-06-24
"Dixie Chicks, The","Cowboy Take Me Away",04:51:00,"2","72",1999-11-27
"Dixie Chicks, The","Goodbye Earl",04:19:00,"2","29",2000-03-18
"Dixie Chicks, The","Without You",03:32:00,"2","70",2000-10-07
"Dr. Dre","Forgot About Dre",03:42:00,"2","55",2000-01-22
